Event	ID	Name			Wwise Object Path	Notes
	348270556	R_Index			\Default Work Unit\CaveScene\R_Index	
	1924347634	L_Index			\Default Work Unit\CaveScene\L_Index	

Switch Group	ID	Name			Wwise Object Path	Notes
	348270556	R_Index			\Default Work Unit\R_Index	
	1924347634	L_Index			\Default Work Unit\L_Index	

Switch	ID	Name	Switch Group			Notes
	1160234136	Normal	R_Index			
	3444057113	Crystal	R_Index			
	1160234136	Normal	L_Index			
	3257506471	Impact	L_Index			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12181325	C6_long	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\Cloud_Shimmer\long\C6_long_D58C1BC9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Cloud_Shimmer\long\C6_long		3072144
	45347330	G1	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\Unfriendly\G1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Low_Sound\Unfriendly\G1		632144
	89183607	B4_long	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\Cloud_Shimmer\long\B4_long_AF45ADC9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Cloud_Shimmer\long\B4_long		3072144
	115662522	E4	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\short_louder\E4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Cloud_Shimmer\short_louder\E4		1152144
	135209714	C5	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\short_louder\C5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Cloud_Shimmer\short_louder\C5		1182144
	191910983	F5	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\short_louder\F5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Cloud_Shimmer\short_louder\F5		1182144
	229781483	E1	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\Unfriendly\E1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Low_Sound\Unfriendly\E1		672144
	232671184	F5_long	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\Cloud_Shimmer\long\F5_long_3BCD80BF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Cloud_Shimmer\long\F5_long		3072144
	352201399	B4	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\short_louder\B4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Cloud_Shimmer\short_louder\B4		1182144
	354512671	A5_long	Y:\Documents\Sound of Light New Repo\SoundOfLight\SoundOfLight_N2.1.5_wwise2019\Normcore VR - Oculus Hand Tracking_WwiseProject\.cache\Android\SFX\Cloud_Shimmer\long\A5_long_1352845A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cave Scene\Cloud_Shimmer\long\A5_long		3072144
